,Unnamed: 0,Composer,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
0,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv136_(c)maclean.mid,5.0,39.0,1.0,45.0,6.0,2.0,7.7989999999999995,-0.4619,5.818,2.0,0.2048,0.07542,0.2637,0.7120000000000001,0.527,1.8019999999999998,4.37,4.718999999999999,0.1048,0.26899999999999996,0.0013830000000000001,4.0,4.0,2.0,0.6022,0.6136,0.03775,0.02433,0.3,10.32,3.9,46.0,0.03377,0.6,3.0,198.3,0.052410000000000005,0.1234,0.1775,0.6467,0.07873
1,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv137_(c)mccoy.mid,5.0,40.0,0.0,48.0,6.0,2.0,10.95,-0.4296,5.1160000000000005,2.0,0.3745,0.07644,0.1927,0.5161,0.5446,1.548,5.306,4.683,0.1221,0.2789,0.001338,4.0,4.0,2.0,0.6374,0.6351,0.04483,0.022869999999999998,0.2,9.368,3.5069999999999997,53.0,0.025480000000000003,0.25,8.0,302.1,0.06334,0.1919,0.1484,0.5963,0.0
2,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv137_(fenske).mid,5.0,83.0,0.0,103.0,6.0,2.0,23.45,-0.1481,5.41,2.0,0.3413,0.07207000000000001,0.1961,0.5402,0.5551,1.659,5.494,4.58,0.2567,0.6438,0.5281,4.0,4.0,2.0,0.6319,0.6221,0.04142,0.0226,0.2,23.27,8.352,53.0,0.025169999999999998,0.25,5.0,289.4,0.2068,0.1524,0.1173,0.5235,0.0
3,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv137_(mccloskey).mid,5.0,40.0,1.0,48.0,6.0,2.0,9.942,-0.6082,5.803999999999999,2.0,0.3502,0.07492,0.1892,0.5516,0.4229,1.696,5.563,4.57,0.1246,0.2252,0.0,4.0,4.0,2.0,0.5421,0.5409,0.1148,0.02425,0.2,7.646,2.775,52.0,0.027110000000000002,0.25,3.0,400.6,0.06905,0.1808,0.1387,0.6115,0.0
4,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv139_(c)mccoy.mid,5.0,42.0,0.0,45.0,7.0,2.0,9.419,-0.2435,5.5120000000000005,2.0,0.4366,0.048369999999999996,0.1037,0.2815,0.4876,1.4269999999999998,10.44,5.502999999999999,0.1383,0.2353,0.03192,4.0,4.0,1.0,0.6664,1.169,0.09982,0.007201000000000001,0.0625,7.207000000000001,3.585,41.0,0.0073019999999999995,0.3889,9.0,558.8,0.04042,0.2321,0.07811,0.6494,0.0
5,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv139_(luquet).mid,5.0,41.0,0.0,45.0,7.0,2.0,8.783,-0.4797,5.757999999999999,2.0,0.3798,0.07289,0.1669,0.4391,0.4576,1.795,7.495,4.9430000000000005,0.12,0.2021,0.018690000000000002,4.0,4.0,1.0,0.6065,0.8044,0.01031,0.02435,0.2,6.021,2.85,72.0,0.03173,0.3333,2.0,0.0,0.03945,0.1102,0.1195,0.7309,0.004488000000000001
6,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv140_(c)maclean.mid,5.0,45.0,0.0,48.0,7.0,3.0,9.082,-0.5363,5.822,2.0,0.2993,0.07245,0.2516,0.5983,0.5122,1.681,5.54,5.029,0.07873,0.1886,0.002577,4.0,4.0,2.0,0.5832,0.736,0.06791,0.02285,0.3,12.32,6.239,77.0,0.029689999999999998,0.3333,2.0,133.8,0.0844,0.1404,0.1284,0.6468,0.0925
7,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv141_(c)maclean.mid,5.0,40.0,1.0,43.0,7.0,2.0,8.593,-0.1557,5.537999999999999,2.0,0.2201,0.03777,0.2722,0.6845,0.5093,1.591,3.99,4.854,0.111,0.2301,0.002694,4.0,4.0,2.0,0.6423,0.7498,0.0597,0.02335,0.2,8.059,4.449,74.0,0.029910000000000003,0.3333,3.0,111.4,0.03447,0.1104,0.1061,0.7490000000000001,0.0799
8,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv142_(c)maclean.mid,5.0,45.0,0.0,46.0,4.0,2.0,8.926,-0.3492,5.537000000000001,2.0,0.3221,0.07297000000000001,0.2809,0.5762,0.5072,1.59,4.949,5.176,0.1645,0.285,0.0016829999999999998,4.0,4.0,3.0,0.7819,0.8277,0.05439,0.0271,0.6,6.894,3.085,51.0,0.030239999999999996,0.5,1.0,328.9,0.04645,0.1172,0.1393,0.6970000000000001,0.1184
9,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv143_(mccloskey).mid,5.0,36.0,3.0,44.0,4.0,2.0,9.566,-0.3339,5.8870000000000005,2.0,0.3622,0.1811,0.2755,0.5651,0.4953,1.554,4.341,3.815,0.1519,0.1734,0.0,4.0,2.0,1.0,0.9391,0.9099,0.01325,0.0348,0.4,5.436,2.623,63.0,0.0348,0.4,1.0,97.53,0.09005,0.1327,0.1359,0.6414,0.0
10,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv143_(unknown).mid,5.0,60.0,0.0,67.0,4.0,1.0,14.43,-0.5874,5.905,2.0,0.3779,0.06079,0.1074,0.2381,0.5771,2.505,27.0,4.84,0.0999,0.1581,0.0,4.0,4.0,2.0,0.6588,0.7988,0.05295,0.028010000000000004,0.6,9.145,3.906,52.0,0.031139999999999998,0.5,1.0,0.0,0.1451,0.1012,0.1089,0.6449,0.0
