,Unnamed: 0,Composer,Number_of_Pitches,Number_of_Common_Pitches,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Skewness,Pitch_Kurtosis,Most_Common_Melodic_Interval,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Vertical_Dissonance_Ratio,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Mean_Rhythmic_Value,Rhythmic_Value_Variability,Complete_Rests_Fraction,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Note_Density,Note_Density_Variability,Strongest_Rhythmic_Pulse,Rhythmic_Variability,Polyrhythms,Number_of_Pitched_Instruments,Voice_Equality_-_Number_of_Notes,Parallel_Motion,Similar_Motion,Contrary_Motion,Oblique_Motion,Average_Note_to_Note_Change_in_Dynamics
0,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_101_(c)lefeldt.mid,6.0,65.0,0.0,76.0,4.0,2.0,12.84,0.0267,5.724,3.0,0.4056,0.0127,0.06261,0.1724,0.7059,2.5839999999999996,25.31,7.081,0.24600000000000002,0.3854,0.013319999999999999,1.0,8.0,2.0,0.8441,0.9081,0.009736,0.02496,0.3,7.571000000000001,3.411,70.0,0.028010000000000004,0.25,1.0,0.0,0.047310000000000005,0.0803,0.08116,0.7912,8.812999999999999
1,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_104_2_(c)lefeldt.mid,6.0,65.0,0.0,69.0,4.0,2.0,12.02,-0.02017,5.979,5.0,0.4163,0.00375,0.045,0.1525,0.6374,1.875,16.3,5.955,0.2088,0.4165,0.002646,1.0,8.0,2.0,0.6791,0.5755,0.02802,0.02494,0.4,8.003,4.838,63.0,0.0279,0.375,1.0,0.0,0.026019999999999998,0.1516,0.06027999999999999,0.7621,9.881
2,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105_(c)lefeldt.mid,6.0,70.0,0.0,85.0,3.0,1.0,12.32,-0.2106,5.952000000000001,10.0,0.4691,0.03011,0.0626,0.1204,0.5572,2.016,21.01,7.115,0.2132,0.3422,0.02364,1.0,8.0,2.0,0.6456,0.616,0.0116,0.02454,0.4,9.669,4.64,70.0,0.027589999999999996,0.25,1.0,0.0,0.04526,0.09579,0.03684,0.8221,9.587
3,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_105b_(c)lefeldt.mid,6.0,58.0,0.0,67.0,3.0,2.0,12.09,-0.2051,5.631,2.0,0.3858,0.02077,0.05027,0.1443,0.6987,2.113,20.81,5.797999999999999,0.2988,0.4942,0.007479,1.0,8.0,2.0,0.6829,0.5888,0.01293,0.026019999999999998,0.4,8.135,2.8289999999999997,62.0,0.029189999999999997,0.375,1.0,0.0,0.042710000000000005,0.134,0.09671,0.7266,9.821
4,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_116_(c)lefeldt.mid,6.0,57.0,0.0,58.0,3.0,2.0,10.84,-0.2768,5.819,1.0,0.3033,0.02186,0.1858,0.3279,0.662,2.085,17.38,6.875,0.20600000000000002,0.3232,0.001836,1.0,8.0,3.0,0.6522,0.5702,0.012819999999999998,0.02481,0.4,7.522,2.012,59.0,0.02975,0.4286,1.0,0.0,0.05535,0.07293999999999999,0.06932,0.8024,8.706
5,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_26_(c)lefeldt.mid,6.0,63.0,0.0,74.0,3.0,2.0,12.06,0.1059,5.968999999999999,2.0,0.4145,0.01495,0.1124,0.3044,0.4505,2.247,13.6,6.367000000000001,0.2487,0.3166,0.061489999999999996,1.0,8.0,4.0,0.5772,0.4992,0.01455,0.0237,0.4,7.072,2.01,74.0,0.030760000000000003,0.3333,1.0,69.3,0.05272,0.1502,0.03781,0.7593,6.79
6,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_26_(c)oguri.mid,6.0,63.0,0.0,74.0,3.0,2.0,12.03,0.09958,5.9879999999999995,4.0,0.3498,0.004202,0.04517,0.1208,0.4963,1.5919999999999999,18.7,8.922,0.2165,0.2027,0.004985,4.0,4.0,1.0,0.5958,0.4867,0.1371,0.006558,0.2353,6.659,2.024,40.0,0.006558,0.2353,1.0,0.0,0.03918,0.3697,0.08234,0.5088,11.34
7,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_41_(c)lefeldt.mid,6.0,73.0,0.0,74.0,6.0,2.0,13.03,0.1593,5.726,2.0,0.3821,0.01888,0.0818,0.2152,0.6648,2.71,23.02,6.166,0.1788,0.3701,0.02684,1.0,8.0,7.0,0.6199,0.6349,0.030489999999999996,0.02118,0.4,9.186,3.469,62.0,0.023819999999999997,0.375,1.0,0.0,0.027889999999999998,0.09131,0.06935,0.8115,8.331
8,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_42_(c)lefeldt.mid,6.0,73.0,0.0,73.0,2.0,2.0,13.46,0.01522,5.737,2.0,0.3268,0.006568000000000001,0.1338,0.3321,0.6521,2.43,20.99,7.188,0.2539,0.4061,0.04149,6.0,8.0,4.0,0.4821,0.4963,0.04241,0.015019999999999999,0.4,7.184,3.5060000000000002,43.0,0.02147,0.6,1.0,0.0,0.0314,0.1033,0.049980000000000004,0.8153,8.422
9,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/faure_(c)contributors-kunstderfuge/barcarolle_44_(c)lefeldt.mid,6.0,62.0,0.0,72.0,2.0,2.0,11.8,0.1189,5.7010000000000005,4.0,0.5061,0.013069999999999998,0.05322,0.1391,0.6793,3.324,26.93,6.098,0.2117,0.3518,0.04597,1.0,8.0,4.0,0.6914,0.7363,0.035269999999999996,0.02164,0.3,7.792999999999999,2.522,61.0,0.02458,0.375,1.0,0.0,0.03508,0.11,0.07428,0.7806,9.794
