,Unnamed: 0,Unnamed: 0.1,Composer,clusters,Range,Dominant_Spread,Strong_Tonal_Centres,Pitch_Variability,Pitch_Class_Variability,Pitch_Skewness,Pitch_Kurtosis,Chromatic_Motion,Stepwise_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Average_Number_of_Simultaneous_Pitch_Classes,Average_Number_of_Simultaneous_Pitches,Vertical_Octaves,Perfect_Vertical_Intervals,Vertical_Dissonance_Ratio,Standard_Triads,Non-Standard_Chords,Complex_Chords,Initial_Time_Signature_0,Initial_Time_Signature_1,Metrical_Diversity,Total_Number_of_Notes,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Rhythmic_Value_Variability,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Number_of_Pitched_Instruments,Maximum_Number_of_Independent_Voices,Variability_of_Number_of_Independent_Voices,Voice_Equality_-_Number_of_Notes,Voice_Separation,Parallel_Motion,Dynamic_Range,Variation_of_Dynamics
0,0,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv136_(c)maclean.mid,5.0,0,45.0,6.0,2.0,7.798999999999999,3.507,-0.4619,5.818,0.2637,0.7120000000000001,1.802,4.37,4.7189999999999985,2.475,2.85,0.09104,0.5549,0.1048,0.3506,0.269,0.001383,4.0,4.0,2.0,4090.0,10.0,10.0,0.6136,5.0,0.02433,0.3,6.549,396.4,10.32,3.9,3.0,8.0,2.114,198.3,3.143,0.052410000000000005,70.0,18.72
1,1,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv137_(c)mccoy.mid,5.0,0,48.0,6.0,2.0,10.95,3.656,-0.4296,5.1160000000000005,0.1927,0.5161,1.548,5.306,4.683,2.427,2.839,0.1294,0.4866,0.1221,0.36,0.2789,0.001338,4.0,4.0,2.0,2461.0,10.0,11.0,0.6351,5.0,0.02287,0.2,39.58,262.7,9.368,3.507,8.0,4.0,1.15,302.1,7.0,0.06334,2.0,0.9496
2,2,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv137_(fenske).mid,5.0,0,103.0,6.0,2.0,23.45,3.626,-0.1481,5.41,0.1961,0.5402,1.659,5.494,4.58,4.022,5.712999999999999,0.1285,0.5171,0.2567,0.004649,0.6438,0.5281,4.0,4.0,2.0,6114.0,10.0,11.0,0.6221,4.0,0.0226,0.2,39.58,262.7,23.27,8.352,5.0,9.0,2.431,289.4,9.5,0.2068,44.0,11.12
3,3,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv137_(mccloskey).mid,5.0,0,48.0,6.0,2.0,9.942,3.64,-0.6082,5.8039999999999985,0.1892,0.5516,1.696,5.563,4.57,2.22,2.567,0.1382,0.3905,0.1246,0.3393,0.2252,0.0,4.0,4.0,2.0,2039.0,10.0,11.0,0.5409,5.0,0.02425,0.2,58.44,266.7,7.646,2.775,3.0,3.0,0.8285,400.6,10.5,0.06905,0.0,0.0
4,4,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv139_(c)mccoy.mid,5.0,0,45.0,7.0,2.0,9.419,3.337,-0.2435,5.5120000000000005,0.1037,0.2815,1.4269999999999998,10.44,5.502999999999999,2.39,2.939,0.1539,0.5018,0.1383,0.3376,0.2353,0.03192,4.0,4.0,1.0,2500.0,11.0,12.0,1.169,0.0,0.007201000000000002,0.0625,0.0,346.9,7.207000000000002,3.585,9.0,3.0,0.5065,558.8,5.332999999999998,0.04042,0.0,0.0
5,5,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv139_(luquet).mid,5.0,0,45.0,7.0,2.0,8.783,3.3480000000000003,-0.4797,5.757999999999999,0.1669,0.4391,1.795,7.495,4.9430000000000005,2.552,3.13,0.1562,0.4193,0.12,0.4296,0.2021,0.01869,4.0,4.0,1.0,2228.0,11.0,11.0,0.8044,5.0,0.02435,0.2,6.886,370.1,6.021,2.85,2.0,1.0,0.0,0.0,0.0,0.03945,10.0,3.227
6,6,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv140_(c)maclean.mid,5.0,0,48.0,7.0,3.0,9.082,3.302,-0.5363,5.822,0.2516,0.5983,1.681,5.54,5.029,2.451,2.879,0.1022,0.5799,0.07873,0.4006,0.1886,0.002577,4.0,4.0,2.0,4173.0,11.0,12.0,0.736,5.0,0.02285,0.3,9.052,338.8,12.32,6.239,2.0,8.0,2.1790000000000003,133.8,3.143,0.0844,101.0,22.6
7,7,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv141_(c)maclean.mid,5.0,0,43.0,7.0,2.0,8.593,3.329,-0.1557,5.5379999999999985,0.2722,0.6845,1.591,3.99,4.854,2.438,2.812,0.103,0.5296,0.111,0.3404,0.2301,0.002694,4.0,4.0,2.0,3104.0,10.0,11.0,0.7498,5.0,0.02335,0.2,30.7,385.1,8.059,4.449,3.0,8.0,1.896,111.4,1.833,0.03447,68.0,19.26
8,8,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv142_(c)maclean.mid,5.0,0,46.0,4.0,2.0,8.926,3.472,-0.3492,5.537000000000001,0.2809,0.5762,1.59,4.949,5.176,2.518,2.928,0.1234,0.4198,0.1645,0.3174,0.285,0.0016829999999999998,4.0,4.0,3.0,3252.0,10.0,11.0,0.8277,5.0,0.0271,0.6,10.7,471.7,6.894,3.085,1.0,5.0,1.216,328.9,5.25,0.04645,63.0,12.25
9,9,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv143_(mccloskey).mid,5.0,0,44.0,4.0,2.0,9.566,3.155,-0.3339,5.8870000000000005,0.2755,0.5651,1.554,4.341,3.815,2.145,2.442,0.131,0.3661,0.1519,0.3038,0.1734,0.0,4.0,2.0,1.0,788.0,7.0,7.0,0.9099,5.0,0.0348,0.4,1.421e-14,145.0,5.436,2.623,1.0,4.0,1.122,97.53,7.0,0.09005,0.0,0.0
10,10,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv143_(unknown).mid,5.0,0,67.0,4.0,1.0,14.43,3.3360000000000003,-0.5874,5.905,0.1074,0.2381,2.505,27.0,4.84,2.385,3.614,0.2412,0.4913,0.0999,0.3872,0.1581,0.0,4.0,4.0,2.0,2107.0,11.0,12.0,0.7988,5.0,0.028010000000000004,0.6,17.21,230.4,9.145,3.906,1.0,1.0,0.0,0.0,0.0,0.1451,0.0,0.0
11,11,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv144_(mccloskey).mid,5.0,0,43.0,6.0,2.0,8.293,3.386,-0.331,5.749,0.2075,0.6012,1.479,4.202,5.1370000000000005,2.439,2.8710000000000004,0.149,0.3912,0.1099,0.3668,0.1979,0.0,4.0,2.0,1.0,1175.0,7.0,7.0,0.8935,5.0,0.034789999999999995,0.4,1.815e-10,190.6,6.165,1.709,1.0,4.0,0.8758,52.96,6.667000000000002,0.03869,0.0,0.0
12,12,/Users/huanzhang/01Acdemics/College/2020Spring/10701_IntroToML/Project/New Data Selection/buxtehude_(c)contributors-kunstderfuge/buxwv145_(c)maclean.mid,5.0,0,48.0,6.0,2.0,10.41,3.412,-0.1988,5.147,0.206,0.601,1.3430000000000002,3.909,4.25,2.434,2.904,0.1369,0.4954,0.12,0.3822,0.2309,0.003753,4.0,4.0,2.0,3180.0,11.0,12.0,0.8723,5.0,0.02428,0.4,4.785,450.4,7.06,2.537,3.0,5.0,1.485,153.6,5.75,0.02436,49.0,13.78
