@relation Converted_from_ACE_XML

@attribute Number_of_Pitches numeric
@attribute Number_of_Common_Pitches numeric
@attribute Range numeric
@attribute Dominant_Spread numeric
@attribute Strong_Tonal_Centres numeric
@attribute Pitch_Variability numeric
@attribute Pitch_Skewness numeric
@attribute Pitch_Kurtosis numeric
@attribute Most_Common_Melodic_Interval numeric
@attribute Amount_of_Arpeggiation numeric
@attribute Repeated_Notes numeric
@attribute Chromatic_Motion numeric
@attribute Stepwise_Motion numeric
@attribute Direction_of_Melodic_Motion numeric
@attribute Melodic_Pitch_Variety numeric
@attribute Vertical_Dissonance_Ratio numeric
@attribute Non-Standard_Chords numeric
@attribute Metrical_Diversity numeric
@attribute Mean_Rhythmic_Value numeric
@attribute Rhythmic_Value_Variability numeric
@attribute Complete_Rests_Fraction numeric
@attribute Rhythmic_Variability_-_Tempo_Standardized numeric
@attribute Polyrhythms_-_Tempo_Standardized numeric
@attribute Note_Density numeric
@attribute Note_Density_Variability numeric
@attribute Strongest_Rhythmic_Pulse numeric
@attribute Rhythmic_Variability numeric
@attribute Polyrhythms numeric
@attribute Number_of_Pitched_Instruments numeric
@attribute Number_of_Unpitched_Instruments numeric
@attribute Voice_Equality_-_Number_of_Notes numeric
@attribute Parallel_Motion numeric
@attribute Similar_Motion numeric
@attribute Contrary_Motion numeric
@attribute Oblique_Motion numeric
@attribute Average_Note_to_Note_Change_in_Dynamics numeric

@data
73.0, 0.0, 77.0, 3.0, 1.0, 16.59, 0.08369, 5.27, 2.0, 0.4266, 0.06506, 0.1321, 0.3699, 0.3633, 4.301, 0.0869, 0.1636, 3.0, 0.7565, 0.5242, 0.1433, 0.03554, 0.4, 16.47, 4.058, 46.0, 0.02809, 0.375, 1.0, 0.0, 680.0, 0.2602, 0.144, 0.09281, 0.503, 0.7854
73.0, 0.0, 81.0, 4.0, 2.0, 15.34, -0.2804, 6.088, 12.0, 0.6222, 0.003741, 0.008728, 0.02743, 0.06133, 2.823, 0.05979, 0.3057, 2.0, 0.497, 0.02978, 0.02721, 0.03418, 0.6, 13.4, 3.597, 131.0, 0.04442, 0.3333, 1.0, 0.0, 123.0, 0.3666, 0.2884, 0.1025, 0.2425, 0.1449
38.0, 2.0, 48.0, 4.0, 3.0, 8.189, -0.1366, 6.289, 2.0, 0.3881, 0.07297, 0.2388, 0.4876, 0.4884, 4.847, 0.1929, 0.3166, 2.0, 0.4633, 0.4768, 0.0, 0.02401, 0.3, 4.577, 1.331, 91.0, 0.03859, 0.5, 1.0, 0.0, 99.52, 0.05332, 0.104, 0.08453, 0.7581, 0.1931
83.0, 0.0, 82.0, 4.0, 2.0, 14.41, -0.2478, 5.693, 2.0, 0.4431, 0.0835, 0.129, 0.3351, 0.3974, 3.453, 0.1778, 0.261, 4.0, 0.5265, 0.5997, 0.1035, 0.02315, 0.2, 16.65, 6.201, 40.0, 0.02011, 0.3077, 1.0, 0.0, 3077.0, 0.1206, 0.1551, 0.09551, 0.6288, 1.812
80.0, 0.0, 81.0, 3.0, 1.0, 16.37, -0.1668, 5.139, 2.0, 0.4447, 0.06319, 0.1601, 0.399, 0.365, 3.988, 0.1066, 0.2794, 4.0, 1.037, 0.706, 0.02309, 0.03379, 0.6667, 11.11, 4.052, 90.0, 0.02709, 0.75, 1.0, 0.0, 1583.0, 0.1849, 0.1337, 0.1035, 0.5779, 2.364
63.0, 0.0, 69.0, 3.0, 2.0, 12.37, 0.2922, 5.279, 3.0, 0.5125, 0.03927, 0.06087, 0.2116, 0.5406, 6.152, 0.3537, 0.02239, 2.0, 0.3651, 0.309, 0.03042, 0.0223, 0.2, 8.221, 2.045, 46.0, 0.02522, 0.375, 1.0, 0.0, 332.8, 0.01962, 0.1455, 0.1576, 0.6773, 1.077
42.0, 1.0, 51.0, 3.0, 2.0, 8.833, 0.2731, 5.204, 2.0, 0.4736, 0.0563, 0.1056, 0.2407, 0.4981, 5.159, 0.1542, 0.003773, 4.0, 0.29, 0.4798, 0.005157, 0.02228, 0.2, 8.885, 1.866, 45.0, 0.02531, 0.375, 1.0, 0.0, 432.1, 0.02263, 0.1767, 0.2231, 0.5776, 0.9869
79.0, 0.0, 84.0, 2.0, 2.0, 16.36, 0.1628, 5.334, 2.0, 0.4943, 0.1211, 0.09259, 0.3025, 0.3117, 4.047, 0.1329, 0.2236, 3.0, 0.4326, 0.4087, 0.2205, 0.02728, 0.5714, 22.85, 6.443, 60.0, 0.02187, 0.3, 1.0, 0.0, 586.9, 0.1578, 0.1771, 0.139, 0.5261, 5.623
47.0, 0.0, 60.0, 4.0, 2.0, 10.84, 0.3744, 5.751, 2.0, 0.4949, 0.03413, 0.09727, 0.2611, 0.1873, 4.266, 0.2045, 0.2596, 2.0, 0.7199, 0.9426, 0.0, 0.03203, 0.6, 7.201, 2.363, 77.0, 0.04158, 0.6667, 1.0, 0.0, 256.2, 0.09317, 0.1979, 0.1615, 0.5475, 1.187
67.0, 0.0, 68.0, 3.0, 3.0, 10.21, 0.1757, 6.251, 3.0, 0.5318, 0.01083, 0.09744, 0.2047, 0.4381, 5.067, 0.187, 0.02111, 2.0, 0.2901, 0.5229, 0.01457, 0.01875, 0.2857, 18.71, 5.765, 159.0, 0.01633, 0.2, 1.0, 0.0, 883.6, 0.05492, 0.1045, 0.1705, 0.6701, 1.368
48.0, 0.0, 55.0, 4.0, 2.0, 10.67, -0.3296, 5.36, 1.0, 0.3866, 0.01148, 0.2612, 0.4124, 0.4201, 4.771, 0.2381, 0.2311, 4.0, 0.5191, 0.482, 0.001422, 0.0217, 0.375, 7.603, 2.707, 62.0, 0.025, 0.4286, 1.0, 0.0, 295.9, 0.001859, 0.132, 0.1691, 0.697, 3.146
55.0, 0.0, 67.0, 4.0, 2.0, 10.76, -0.2922, 6.162, 12.0, 0.5401, 0.02081, 0.01665, 0.05099, 0.3156, 3.788, 0.1576, 0.2877, 3.0, 0.8243, 0.7386, 0.0, 0.02607, 0.4, 5.059, 1.804, 102.0, 0.04062, 1.0, 1.0, 0.0, 459.2, 0.1297, 0.1264, 0.06068, 0.6832, 1.968
41.0, 2.0, 48.0, 3.0, 2.0, 7.323, -0.3761, 6.198, 0.0, 0.6172, 0.2373, 0.07422, 0.1606, 0.3752, 3.931, 0.4733, 0.6038, 2.0, 0.2698, 0.2798, 0.01155, 0.01637, 0.2143, 16.47, 5.212, 67.0, 0.0181, 0.07692, 1.0, 0.0, 515.5, 0.003951, 0.05999, 0.04526, 0.8908, 1.231
